"","SEG","ELEMENT","LENGTH","START_X","START_Y","TRANS_NUM","TOT_LENGTH"
"1",6,"str1",27.16947743,295455.9826,3238032.784,4,108.67790972
"2",66,"str2",22.43571837,295556.3459,3237897.331,4,89.74287348
"3",15,"str1",27.16947743,295147.0453,3238443.753,5,135.84738715
"4",54,"str2",22.43571837,295774.1782,3237700.887,5,112.17859185
"5",14,"str1",27.16947743,295240.3202,3238286.631,1,27.16947743
"6",65,"str2",22.43571837,295542.8083,3237915.223,1,22.43571837
"7",40,"str1",27.16947743,294592.7542,3238982.222,5,135.84738715
"8",57,"str2",22.43571837,295818.7637,3237650.465,3,67.30715511
"9",52,"str2",22.43571837,295744.4546,3237734.502,4,89.74287348
"10",62,"str2",22.43571837,295672.6959,3237788.115,2,44.87143674
"11",64,"str2",22.43571837,295529.2706,3237933.114,3,67.30715511
"12",38,"str1",27.16947743,294623.3532,3238942.068,1,27.16947743
"13",32,"str1",27.16947743,294942.0013,3238634.698,1,27.16947743
"14",49,"str2",22.43571837,295920.5601,3237454.82,2,44.87143674
"15",61,"str2",22.43571837,295656.9572,3237804.104,2,44.87143674
"16",53,"str2",22.43571837,295759.3164,3237717.695,2,44.87143674
"17",56,"str2",22.43571837,295803.9018,3237667.273,1,22.43571837
"18",4,"str1",27.16947743,295419.4259,3238072.987,4,108.67790972
"19",26,"str1",27.16947743,294830.509,3238750.773,5,135.84738715
"20",55,"str2",22.43571837,295789.04,3237684.08,3,67.30715511
"21",7,"str1",27.16947743,295474.261,3238012.682,3,81.50843229
"22",46,"str2",22.43571837,295915.2166,3237518.941,1,22.43571837
"23",44,"str2",22.43571837,295890.1724,3237556.173,4,89.74287348
"24",8,"str1",27.16947743,295260.5625,3238257.354,3,81.50843229
"25",45,"str2",22.43571837,295902.6945,3237537.557,4,89.74287348
"26",10,"str1",27.16947743,295296.1375,3238216.676,4,108.67790972
"27",48,"str2",22.43571837,295922.566,3237477.166,4,89.74287348
"28",47,"str2",22.43571837,295924.572,3237499.512,2,44.87143674
"29",35,"str1",27.16947743,294681.7251,3238944.082,3,81.50843229
"30",63,"str2",22.43571837,295515.733,3237951.005,3,67.30715511
"31",21,"str1",27.16947743,295069.1958,3238555.305,5,135.84738715
"32",3,"str1",27.16947743,295401.1475,3238093.089,1,27.16947743
"33",42,"str2",22.43571837,295865.1282,3237593.405,1,22.43571837
"34",11,"str1",27.16947743,295314.4128,3238196.611,5,135.84738715
"35",19,"str1",27.16947743,295026.7623,3238588.838,2,54.33895486
"36",20,"str1",27.16947743,295049.3074,3238573.815,2,54.33895486
"37",27,"str1",27.16947743,294850.71,3238732.749,3,81.50843229
"38",37,"str1",27.16947743,294685.8613,3238889.9,4,108.67790972
"39",60,"str2",22.43571837,295641.2186,3237820.093,1,22.43571837
"40",31,"str1",27.16947743,294920.8002,3238651.689,5,135.84738715
"41",2,"str1",27.16947743,295382.8691,3238113.191,4,108.67790972
"42",5,"str1",27.16947743,295437.7043,3238052.885,5,135.84738715
"43",50,"str2",22.43571837,295918.5542,3237432.474,5,112.17859185
"44",1,"str1",27.16947743,295364.6028,3238133.302,1,27.16947743
"45",43,"str2",22.43571837,295877.6503,3237574.789,2,44.87143674
"46",51,"str2",22.43571837,295729.5928,3237751.31,4,89.74287348
"47",25,"str1",27.16947743,294808.4493,3238766.633,1,27.16947743
"48",22,"str1",27.16947743,295084.284,3238533.752,1,27.16947743
"49",33,"str1",27.16947743,294706.8367,3238847.251,1,27.16947743
"50",9,"str1",27.16947743,295276.868,3238235.83,5,135.84738715
"51",58,"str2",22.43571837,295833.6255,3237633.658,5,112.17859185
"52",18,"str1",27.16947743,295003.6349,3238603.097,2,54.33895486
"53",17,"str1",27.16947743,295182.8381,3238402.868,4,108.67790972
"54",29,"str1",27.16947743,294881.0141,3238688.276,4,108.67790972
"55",12,"str1",27.16947743,295331.8131,3238175.745,3,81.50843229
"56",41,"str1",27.16947743,294543.3495,3239025.25,3,81.50843229
"57",30,"str1",27.16947743,294899.5992,3238668.68,1,27.16947743
"58",34,"str1",27.16947743,294724.7723,3238826.843,4,108.67790972
"59",16,"str1",27.16947743,295164.9417,3238423.31,2,54.33895486
"60",59,"str2",22.43571837,295625.4799,3237836.082,1,22.43571837
"61",13,"str1",27.16947743,295232.2622,3238312.578,1,27.16947743
"62",24,"str1",27.16947743,295106.7122,3238484.633,4,108.67790972
"63",39,"str1",27.16947743,294629.3078,3238915.559,4,108.67790972
"64",36,"str1",27.16947743,294683.7932,3238916.991,5,135.84738715
"65",23,"str1",27.16947743,295093.3504,3238508.208,4,108.67790972
"66",28,"str1",27.16947743,294868.2554,3238712.264,2,54.33895486
